Name,Brief,Time_minutes,Topic,URL,Type,Priority_overall,Priority_topic,Question
Global warming vs climate change,Understand the difference between global warming and climate change.,10,Climate change & core science,"https://climate.nasa.gov/global-warming-vs-climate-change/#:~:text=Global%20warming%20is%20the%20long,the%20term%20%22climate%20change.%22",Website Article,,,I understand the difference between climate change and global warming
The carbon cycle,Understand how carbon is cycled on earth.,20,Climate change & core science,https://www.notion.so/The-Carbon-Cycle-d3545367c933486d82b0bbe036b8e398?pvs=4,Notion,,,I can describe the carbon cycle
A mental model for combating climate change,A short article exploring how we can solve climate change through reducing emissions and carbon removal.,15,Climate change & core science,https://nanransohoff.com/A-mental-model-for-combating-climate-change-846be1769d374fa1b5b855407c93da66,Website Article,,,"I can define what scope 1, 2 and 3 emissions are"
How do carbon markets work?,"A short video explaining credits, compulsory carbon markets and voluntary carbon markets.",10,Carbon markets,https://www.youtube.com/watch?v=m5ych9oDtk0,Video,,,I know what a carbon credit is
What is the voluntary carbon market?,A short video on the voluntary carbon market.,2,Carbon markets,https://www.youtube.com/watch?v=a984pZJ0zac,Video,,,I understand the difference between voluntary and compulsory carbon markets
The state of the voluntary carbon market (2022),An article explaining the issues with the voluntary carbon market.,5,Carbon markets,https://illuminem.com/illuminemvoices/assessing-the-state-of-the-voluntary-carbon-market-in-2022,Website Article,,,
CDR vs CCS,Understand the different between carbon removal and carbon capture and storage.,7,CDR concepts,https://carboncurve.substack.com/p/conflating-cdr,Website Article,,,I know the difference between CDR and CCS
Introduction to CDR with Dr Evan Morton,A longer style video explaining the different types of pathways and introducing key concepts.,45,CDR concepts,https://www.youtube.com/watch?v=AJZkRl2iZ4I,Video,,,
Why we need CDR,"An explainer delving into why we need CDR, and not just emission reductions.",35,CDR concepts,https://www.notion.so/isometric/Why-we-need-CDR-2c35d7f6275d4616845c4c1c3bf94b89?pvs=4,Notion,,,I understand why we need CDR
"Introduction to buyers, suppliers and registries",A briefing of some of the key players Isometric interacts with.,5,Carbon markets,https://www.notion.so/Buyers-Suppliers-and-Registries-af8a84151dcc488ea062de7a15fee831?pvs=4,Notion,,,
Traditional offsets: these trees are not what they seem,A short video explaining the issues with traditional offsets.,15,Carbon markets,https://www.youtube.com/watch?v=20xMbGkEIQI,Video,,,
The carbon cycle and CDR,How CDR takes advantage reactions that occur as part of the carbon cycle.,20,CDR pathways,https://www.notion.so/The-Carbon-Cycle-and-CDR-85948d96044b408c84a843478991d335?pvs=4,Notion,,,I understand how CDR impacts upon the carbon cycle
Durability pt 1,A definition for durability.,4,CDR concepts,https://www.notion.so/Durability-5c6215cc01f64066be58e5ac36d91c29?pvs=4,Notion,,,I can define durability
MRV pt 1,"A definition for measurement, reporting and verification.",7,CDR concepts,https://www.bloomberg.com/news/articles/2023-06-29/climate-change-fighting-carbon-removal-startups-work-to-verify-their-claims,Website Article,,,I can define MRV
LCAs pt 1,A definition for life cycle analysis.,7,CDR concepts,https://www.patch.io/blog/life-cycle-assessments-lcas-what-are-they,Website Article,,,I can define LCA
Counterfactuals & additionality explainer,A definition for counterfactual and additionality.,4,CDR concepts,https://www.notion.so/Counterfactuals-and-Additionality-b79a74616f014618b4bcdada2d252621?pvs=4,Notion,,,I can define counterfactual and additionality
An introduction to CDR pathways pt 1,A short read introducing 4 key pathways Isometric works across.,25,CDR pathways,https://www.notion.so/isometric/An-Introduction-to-CDR-Pathways-e35ee7d5669a4db2b5712640f6394bdd?pvs=4,Notion,,,"I can briefly describe how enhanced weathering, ocean alkalinity enhancement, direct air capture and biomass carbon removal and storage works"
Global climate agreements: successes and failures,A briefing on the different climate agreements and their success so far.,10,Policy,https://www.cfr.org/backgrounder/paris-global-climate-change-agreements,Website Article,,,"I know what COP, the Kyoto Agreement, and Paris Protocol are"
What is the UN Framework Convention on Climate Change?,A briefing on the UNFCC’s work and purpose.,5,Policy,https://www.lse.ac.uk/granthaminstitute/explainers/what-is-the-un-framework-convention-on-climate-change-unfccc/,Website Article,,,I know what the UNFCC is
